Agent at position (x: 526.6819, y: 0.1, z: 498.22) marked as 'A'
Park at position (x: -234.61, y: 0, z: 69.37) marked as 'P'
Park at position (x: -151, y: 0, z: 105.7) marked as 'P'
Park at position (x: -219.4, y: 0, z: 138.3) marked as 'P'
Park at position (x: -126.08, y: 0, z: 147.06) marked as 'P'
Park at position (x: -95.24002, y: 0, z: 102.98) marked as 'P'
Park at position (x: -76.10001, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -53.80002, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -78.20001, y: 0, z: 102.98) marked as 'P'
Park at position (x: -280.3, y: 0, z: 22.69998) marked as 'P'
Park at position (x: 7.5, y: 0, z: 118.2) marked as 'P'
Park at position (x: -90, y: 0, z: 105.7) marked as 'P'
Park at position (x: -188, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -270.2, y: 0, z: -15.80002) marked as 'P'
Park at position (x: -27.09, y: 0, z: 147.06) marked as 'P'
Park at position (x: -38.39999, y: 0, z: 70.10999) marked as 'P'
Park at position (x: -41.10001, y: 0, z: 105.7) marked as 'P'
Park at position (x: -158, y: 0, z: 105.7) marked as 'P'
Park at position (x: -196.21, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -64.20999, y: 0, z: 102.98) marked as 'P'
Park at position (x: -242.2, y: 0, z: 64.8573) marked as 'P'
Park at position (x: -210.54, y: 0, z: 110.56) marked as 'P'
Park at position (x: -121.39, y: 0, z: 102.98) marked as 'P'
Park at position (x: -108.1, y: 0, z: 76.39996) marked as 'P'
Park at position (x: -65.39999, y: 0, z: 136.2) marked as 'P'
Park at position (x: -147.08, y: 0, z: 114) marked as 'P'
Park at position (x: -157.2, y: 0, z: 71.14996) marked as 'P'
Park at position (x: -276, y: 0, z: -45.20001) marked as 'P'
Park at position (x: -76.60001, y: 0, z: 130.7) marked as 'P'
Park at position (x: -58.20001, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -30.89999, y: 0, z: 76.39996) marked as 'P'
Park at position (x: -188.7, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -56.10001, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -32.64999, y: 0, z: 138.7) marked as 'P'
Park at position (x: -241.6, y: 0, z: 155.23) marked as 'P'
Park at position (x: -61.60001, y: 0, z: -39.30002) marked as 'P'
Park at position (x: -244.1913, y: 0, z: 123) marked as 'P'
Park at position (x: -175.36, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -278, y: 0, z: -92.40002) marked as 'P'
Park at position (x: -70, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -278, y: 0, z: 102.3) marked as 'P'
Park at position (x: -64.10001, y: 0, z: 20.69998) marked as 'P'
Park at position (x: -270.5, y: 0, z: 44.59998) marked as 'P'
Park at position (x: -89.5, y: 0, z: 136.2) marked as 'P'
Park at position (x: -244.169, y: 0, z: -37.85083) marked as 'P'
Park at position (x: -193.5, y: 0, z: 138.3) marked as 'P'
Park at position (x: -201.57, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -191.96, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -270.2, y: 0, z: -47.10002) marked as 'P'
Park at position (x: -215.5, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -214.1, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -67.60001, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -174.8, y: 0, z: 63.79999) marked as 'P'
Park at position (x: 7.799988, y: 0, z: 60.69998) marked as 'P'
Park at position (x: 7.5, y: 0, z: 103.4) marked as 'P'
Park at position (x: -37.10001, y: 0, z: 71.14996) marked as 'P'
Park at position (x: -213.6, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -83, y: 0, z: 105.7) marked as 'P'
Park at position (x: -97.32999, y: 0, z: 138.7) marked as 'P'
Park at position (x: -270.5, y: 0, z: 12.29999) marked as 'P'
Park at position (x: -64.20001, y: 0, z: 18.19998) marked as 'P'
Park at position (x: -98.70001, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -280.3, y: 0, z: 154.3) marked as 'P'
Park at position (x: -81.10001, y: 0, z: 138.7) marked as 'P'
Park at position (x: -208.06, y: 0, z: 124.12) marked as 'P'
Park at position (x: -114.5, y: 0, z: 71.14996) marked as 'P'
Park at position (x: -224.51, y: 0, z: 147.06) marked as 'P'
Park at position (x: -270.5, y: 0, z: 103.4) marked as 'P'
Park at position (x: -67.80002, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -46.60001, y: 0, z: 3.199982) marked as 'P'
Park at position (x: -234.61, y: 0, z: 71.14996) marked as 'P'
Park at position (x: -200.13, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -29, y: 0, z: -24.90002) marked as 'P'
Park at position (x: -115.5, y: 0, z: 71.70996) marked as 'P'
Park at position (x: -103.4, y: 0, z: 147.06) marked as 'P'
Park at position (x: -115.8, y: 0, z: 70.10999) marked as 'P'
Park at position (x: -54.5, y: 0, z: 147.06) marked as 'P'
Park at position (x: -216.2, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -216.197, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -108.8, y: 0, z: 138.7) marked as 'P'
Park at position (x: -108.6, y: 0, z: 105.7) marked as 'P'
Park at position (x: -176.8, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -94.70001, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -165, y: 0, z: 76.39996) marked as 'P'
Park at position (x: -27.09, y: 0, z: 114) marked as 'P'
Park at position (x: -75.39999, y: 0, z: 147.06) marked as 'P'
Park at position (x: -203.7, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -278, y: 0, z: -61.40002) marked as 'P'
Park at position (x: -91.07999, y: 0, z: 38.40997) marked as 'P'
Park at position (x: -176.9, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -163.23, y: 0, z: 102.98) marked as 'P'
Park at position (x: -270.5, y: 0, z: 118.2) marked as 'P'
Park at position (x: 0, y: 0, z: -92.40002) marked as 'P'
Park at position (x: -242.2, y: 0, z: 76.39996) marked as 'P'
Park at position (x: -270.2, y: 0, z: 86.5) marked as 'P'
Park at position (x: -106.3669, y: 0, z: -21.8607) marked as 'P'
Park at position (x: -203, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -190.1, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -29.28, y: 0, z: 102.98) marked as 'P'
Park at position (x: -30.89999, y: 0, z: 64.8573) marked as 'P'
Park at position (x: -270.5, y: 0, z: 143.9) marked as 'P'
Park at position (x: -82.20001, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -2.300018, y: 0, z: 141.3) marked as 'P'
Park at position (x: -202.3, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -228.2, y: 0, z: 64.8573) marked as 'P'
Park at position (x: -280.3, y: 0, z: 55) marked as 'P'
Park at position (x: -75.89999, y: 0, z: 114) marked as 'P'
Park at position (x: -270.2, y: 0, z: 60.69998) marked as 'P'
Park at position (x: -56.20001, y: 0, z: 3.199982) marked as 'P'
Park at position (x: -228.2, y: 0, z: 76.39996) marked as 'P'
Park at position (x: -189.33, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -47.5, y: 0, z: 38.40997) marked as 'P'
Park at position (x: -198.7, y: 0, z: 147.06) marked as 'P'
Park at position (x: -56.70001, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -215.484, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -187.71, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -48.75, y: 0, z: 102.98) marked as 'P'
Park at position (x: 7.799988, y: 0, z: 86.5) marked as 'P'
Park at position (x: -278, y: 0, z: 76.5) marked as 'P'
Park at position (x: -38.10001, y: 0, z: 71.70996) marked as 'P'
Park at position (x: -276, y: 0, z: 91.59998) marked as 'P'
Park at position (x: -38.30002, y: 0, z: 3.199982) marked as 'P'
Park at position (x: 7.799988, y: 0, z: -77.20001) marked as 'P'
Park at position (x: -114.09, y: 0, z: 102.98) marked as 'P'
Park at position (x: 3.399994, y: 0, z: 30.69998) marked as 'P'
Park at position (x: -209.2, y: 0, z: 116.37) marked as 'P'
Park at position (x: -55.30002, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -122.1, y: 0, z: 64.8573) marked as 'P'
Park at position (x: -94, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -208.96, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -96.10001, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -99.11002, y: 0, z: 102.98) marked as 'P'
Park at position (x: -206.6, y: 0, z: 135.7) marked as 'P'
Park at position (x: -126.1, y: 0, z: 114) marked as 'P'
Park at position (x: 0, y: 0, z: -31.30002) marked as 'P'
Park at position (x: 7.5, y: 0, z: 130.9) marked as 'P'
Park at position (x: -212.52, y: 0, z: 138.7) marked as 'P'
Park at position (x: -108.1, y: 0, z: 64.8573) marked as 'P'
Park at position (x: -76.603, y: 0, z: 61.19998) marked as 'P'
Park at position (x: -64.20001, y: 0, z: 10.79999) marked as 'P'
Park at position (x: -44.89999, y: 0, z: 64.8573) marked as 'P'
Park at position (x: -151, y: 0, z: 76.39996) marked as 'P'
Park at position (x: -203.73, y: 0, z: 77.81998) marked as 'P'
Park at position (x: 0.8999939, y: 0, z: 65.29999) marked as 'P'
Park at position (x: -183.07, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -206.43, y: 0, z: 116.37) marked as 'P'
Park at position (x: -176.08, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -71.89999, y: 0, z: 70.69998) marked as 'P'
Park at position (x: -241.6, y: 0, z: 108.42) marked as 'P'
Park at position (x: -157.2, y: 0, z: 69.37) marked as 'P'
Park at position (x: -168.9, y: 0, z: 138.3) marked as 'P'
Park at position (x: -82.20001, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -203.01, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -235.55, y: 0, z: 71.70996) marked as 'P'
Park at position (x: -100.6, y: 0, z: 114) marked as 'P'
Park at position (x: -31, y: 0, z: 3.199982) marked as 'P'
Park at position (x: -96.10001, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -2.300018, y: 0, z: 22.69998) marked as 'P'
Park at position (x: -189.4, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -278, y: 0, z: 0) marked as 'P'
Park at position (x: -103.26, y: 0, z: 102.98) marked as 'P'
Park at position (x: -97.14999, y: 0, z: 102.98) marked as 'P'
Park at position (x: -53.76001, y: 0, z: 102.98) marked as 'P'
Park at position (x: -224.62, y: 0, z: 113.96) marked as 'P'
Park at position (x: -48.88, y: 0, z: 138.7) marked as 'P'
Park at position (x: -163.18, y: 0, z: 138.7) marked as 'P'
Park at position (x: -208.08, y: 0, z: 114.82) marked as 'P'
Park at position (x: -165, y: 0, z: 64.8573) marked as 'P'
Park at position (x: -64.20001, y: 0, z: 38.40997) marked as 'P'
Park at position (x: -214.042, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -68.5, y: 0, z: 77.81998) marked as 'P'
Park at position (x: -54.70001, y: 0, z: 63.79999) marked as 'P'
Park at position (x: -38.30002, y: 0, z: 38.40997) marked as 'P'
Park at position (x: -200.18, y: 0, z: 124.12) marked as 'P'
Prop at position (x: -116.3, y: 0.2, z: 83.12997) marked as 'X'
Prop at position (x: -112.6, y: 18.91, z: -50.60002) marked as 'X'
Prop at position (x: -116.3, y: 0.2, z: 58.20999) marked as 'X'
Prop at position (x: 8.5, y: 0, z: 51.39996) marked as 'X'
Prop at position (x: -236.6, y: 0.2, z: 58.20999) marked as 'X'
Prop at position (x: -189.09, y: 0.2, z: 10.72998) marked as 'X'
Prop at position (x: -36.60001, y: 0.2, z: 98.12997) marked as 'X'
Prop at position (x: -204.18, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -264.1, y: 0.2, z: 150.6) marked as 'X'
Prop at position (x: -84.07999, y: 0.2, z: -49.30002) marked as 'X'
Prop at position (x: -189.09, y: 0.2, z: -49.30002) marked as 'X'
Prop at position (x: -188.91, y: 0.2, z: -61.69002) marked as 'X'
Prop at position (x: -196.17, y: 0, z: 67.68518) marked as 'X'
Prop at position (x: -249, y: 0.2, z: -18.12003) marked as 'X'
Prop at position (x: -8.940002, y: 0.2, z: 83.04999) marked as 'X'
Prop at position (x: -249.1, y: 0.2, z: -49.30002) marked as 'X'
Prop at position (x: -116.3, y: 0.2, z: 98.12997) marked as 'X'
Prop at position (x: -129.02, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -24.22, y: 0.2, z: 42.21997) marked as 'X'
Prop at position (x: -56.60001, y: 0.2, z: 98.12997) marked as 'X'
Prop at position (x: -96.30002, y: 0.2, z: 83.12997) marked as 'X'
Prop at position (x: -89.39999, y: 0, z: 67.68518) marked as 'X'
Prop at position (x: -144.38, y: 0.2, z: 99.25) marked as 'X'
Prop at position (x: -188.96, y: 0.2, z: 0) marked as 'X'
Prop at position (x: -278.8, y: 0, z: -13.90002) marked as 'X'
Prop at position (x: -24.11002, y: 0.2, z: 114.2) marked as 'X'
Prop at position (x: -207.1, y: 0.2, z: -61.66002) marked as 'X'
Prop at position (x: -68.94, y: 0.2, z: -18.22002) marked as 'X'
Prop at position (x: -128.86, y: 0.2, z: -0.6400146) marked as 'X'
Prop at position (x: -156.7, y: 0.2, z: 83.12997) marked as 'X'
Prop at position (x: -188.98, y: 0.2, z: -16.86102) marked as 'X'
Prop at position (x: -56.60001, y: 0.2, z: -76.80002) marked as 'X'
Prop at position (x: -129.15, y: 0.2, z: 150.6) marked as 'X'
Prop at position (x: -247.7, y: 0.2, z: -61.66002) marked as 'X'
Prop at position (x: -1.399994, y: 0, z: -73.90002) marked as 'X'
Prop at position (x: -56.60001, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -176.7, y: 0.2, z: -76.80002) marked as 'X'
Prop at position (x: -215.5, y: 16.49, z: -88.50002) marked as 'X'
Prop at position (x: -249.1, y: 0.2, z: 150.6) marked as 'X'
Prop at position (x: -62.39999, y: 0, z: 73.90997) marked as 'X'
Prop at position (x: -89.39999, y: 0, z: 73.90997) marked as 'X'
Prop at position (x: -36.60001, y: 0.2, z: 83.12997) marked as 'X'
Prop at position (x: -264.1, y: 0.2, z: 70.39996) marked as 'X'
Prop at position (x: -144.22, y: 0.2, z: -1.720016) marked as 'X'
Prop at position (x: -237.8, y: 18.91, z: -33.74002) marked as 'X'
Prop at position (x: -216.54, y: 0.2, z: 83.12997) marked as 'X'
Prop at position (x: -277.7, y: 0, z: 85) marked as 'X'
Prop at position (x: -279.2, y: 0, z: -73.90002) marked as 'X'
Prop at position (x: -119.5, y: 0.2, z: -0.6300049) marked as 'X'
Prop at position (x: -264.1, y: 0.2, z: 10.72998) marked as 'X'
Prop at position (x: -0.1000061, y: 0, z: 121.5) marked as 'X'
Prop at position (x: -69.05002, y: 0.2, z: -16.86102) marked as 'X'
Prop at position (x: -129.15, y: 0.2, z: 10.72998) marked as 'X'
Prop at position (x: -69.05002, y: 0.2, z: -1.720016) marked as 'X'
Prop at position (x: -270.1, y: 0, z: -39.70001) marked as 'X'
Prop at position (x: -277.7, y: 0, z: 51.89996) marked as 'X'
Prop at position (x: -56.60001, y: 0.2, z: -61.80002) marked as 'X'
Prop at position (x: -129, y: 0.2, z: 99.25) marked as 'X'
Prop at position (x: -204.22, y: 0.2, z: 41.5) marked as 'X'
Prop at position (x: -129.15, y: 0.2, z: 70.39996) marked as 'X'
Prop at position (x: -24.11002, y: 0.2, z: -29.29002) marked as 'X'
Prop at position (x: -128.23, y: 0.2, z: 23.06998) marked as 'X'
Prop at position (x: -204.09, y: 0.2, z: 10.72998) marked as 'X'
Prop at position (x: -20.12503, y: 0, z: 67.69266) marked as 'X'
Prop at position (x: -123.266, y: 0, z: -21.18193) marked as 'X'
Prop at position (x: 6.799988, y: 0, z: 76.19998) marked as 'X'
Prop at position (x: -62.39999, y: 0, z: 67.68518) marked as 'X'
Prop at position (x: -68.99002, y: 0.2, z: 58.31) marked as 'X'
Prop at position (x: -156.7, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -186.9, y: 0.2, z: -61.66002) marked as 'X'
Prop at position (x: -204.09, y: 0.2, z: -49.30002) marked as 'X'
Prop at position (x: -84.23001, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -204.09, y: 0.2, z: 30.73999) marked as 'X'
Prop at position (x: -129.02, y: 0.2, z: 58.31) marked as 'X'
Prop at position (x: -128.86, y: 0.2, z: 81.63998) marked as 'X'
Prop at position (x: -176.7, y: 0.2, z: -1.800018) marked as 'X'
Prop at position (x: -24.22, y: 0.2, z: 81.47998) marked as 'X'
Prop at position (x: -76.10001, y: 0, z: 73.90997) marked as 'X'
Prop at position (x: -144.24, y: 0.2, z: -16.86102) marked as 'X'
Prop at position (x: -236.6, y: 0.2, z: 98.12997) marked as 'X'
Prop at position (x: -144.15, y: 0.2, z: 114.2) marked as 'X'
Prop at position (x: -9.050018, y: 0.2, z: -16.86102) marked as 'X'
Prop at position (x: -236.6, y: 0.2, z: -1.800018) marked as 'X'
Prop at position (x: -204.22, y: 0.2, z: -16.86102) marked as 'X'
Prop at position (x: 147.5, y: 0, z: 155.3002) marked as 'X'
Prop at position (x: 4.100006, y: 0, z: 109.4) marked as 'X'
Prop at position (x: -144.15, y: 0.2, z: 134.2) marked as 'X'
Prop at position (x: -249, y: 0.2, z: 0) marked as 'X'
Prop at position (x: -216.54, y: 0.2, z: -61.80002) marked as 'X'
Prop at position (x: -236.6, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -144.2, y: 0.2, z: -18.12003) marked as 'X'
Prop at position (x: -36.60001, y: 0.2, z: 58.20999) marked as 'X'
Prop at position (x: -9.110016, y: 0.2, z: 70.39996) marked as 'X'
Prop at position (x: -167.4, y: 16.49, z: -86.50002) marked as 'X'
Prop at position (x: -68.99002, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -111.7, y: 0, z: -21.18193) marked as 'X'
Prop at position (x: -204.1, y: 0.2, z: -76.89226) marked as 'X'
Prop at position (x: -146.6, y: 0.2, z: -61.66002) marked as 'X'
Prop at position (x: -264.1, y: 0.2, z: 114.2) marked as 'X'
Prop at position (x: -96.30002, y: 0.2, z: 58.20999) marked as 'X'
Prop at position (x: -129.15, y: 0.2, z: -49.30002) marked as 'X'
Prop at position (x: -144.16, y: 0.2, z: -61.69002) marked as 'X'
Prop at position (x: -144.03, y: 0.2, z: -76.89226) marked as 'X'
Prop at position (x: -269.4, y: 0, z: -54.80002) marked as 'X'
Prop at position (x: -13.60001, y: 24.27, z: -85.40002) marked as 'X'
Prop at position (x: -56.60001, y: 0.2, z: 83.12997) marked as 'X'
Prop at position (x: -24.11002, y: 0.2, z: 134.2) marked as 'X'
Prop at position (x: -209.65, y: 0.2, z: 107.48) marked as 'X'
Prop at position (x: -203.67, y: 0.2, z: 107.48) marked as 'X'
Prop at position (x: -155.75, y: 16.49, z: 24.72998) marked as 'X'
Prop at position (x: -144.15, y: 0.2, z: 30.73999) marked as 'X'
Prop at position (x: -216.54, y: 0.2, z: -1.800018) marked as 'X'
Prop at position (x: -24.11002, y: 0.2, z: 70.39996) marked as 'X'
Prop at position (x: -96.30002, y: 0.2, z: -16.80002) marked as 'X'
Prop at position (x: -129.15, y: 0.2, z: 114.2) marked as 'X'
Prop at position (x: -176.7, y: 0.2, z: 83.12997) marked as 'X'
Prop at position (x: -178.4, y: 9.378553, z: -52.60002) marked as 'X'
Prop at position (x: -209.5, y: 0, z: 67.68518) marked as 'X'
Prop at position (x: -236.6, y: 0.2, z: -16.80002) marked as 'X'
Prop at position (x: -144.15, y: 0.2, z: 70.39996) marked as 'X'
Prop at position (x: -249.1, y: 0.2, z: 70.39996) marked as 'X'
Prop at position (x: 4.100006, y: 0, z: 136.1) marked as 'X'
Prop at position (x: -249.1, y: 0.2, z: 10.72998) marked as 'X'
Prop at position (x: -17.35037, y: 0, z: 77.38998) marked as 'X'
Prop at position (x: -188.98, y: 0.2, z: 58.31) marked as 'X'
Prop at position (x: -249.05, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -271.5, y: 0, z: -7.500015) marked as 'X'
Prop at position (x: -128.86, y: 0.2, z: 59.33997) marked as 'X'
Prop at position (x: -84.29001, y: 0.2, z: -61.69002) marked as 'X'
Prop at position (x: -24.60001, y: 16.49, z: -89.00002) marked as 'X'
Prop at position (x: -9.110016, y: 0.2, z: 30.73999) marked as 'X'
Prop at position (x: -177.5, y: 16.49, z: -38.00002) marked as 'X'
Prop at position (x: -9.110016, y: 0.2, z: -29.29002) marked as 'X'
Prop at position (x: -144.15, y: 0.2, z: 83.04999) marked as 'X'
Prop at position (x: -156.7, y: 0.2, z: -61.80002) marked as 'X'
Prop at position (x: -24.13998, y: 0.2, z: 83.04999) marked as 'X'
Prop at position (x: -69.07999, y: 0.2, z: -49.30002) marked as 'X'
Prop at position (x: -264.2, y: 0.2, z: -1.720016) marked as 'X'
Prop at position (x: -24.70001, y: 0.2, z: -61.66002) marked as 'X'
Prop at position (x: -129.15, y: 0.2, z: 134.2) marked as 'X'
Prop at position (x: -223.8897, y: 16.49, z: -28.02034) marked as 'X'
Prop at position (x: -128.84, y: 0.2, z: -61.69002) marked as 'X'
Prop at position (x: -56.60001, y: 0.2, z: -16.80002) marked as 'X'
Prop at position (x: 19.7019, y: -0.4000001, z: 288.7) marked as 'X'
Prop at position (x: -182.43, y: 0, z: 67.68518) marked as 'X'
Prop at position (x: -36.60001, y: 0.2, z: -1.800018) marked as 'X'
Prop at position (x: -106.9, y: 18.91, z: -88.90002) marked as 'X'
Prop at position (x: -167.4, y: 16.49, z: -86.50002) marked as 'X'
Prop at position (x: -129, y: 0.2, z: -16.86102) marked as 'X'
Prop at position (x: -9.110016, y: 0.2, z: 150.6) marked as 'X'
Prop at position (x: -96.30002, y: 0.2, z: -61.80002) marked as 'X'
Prop at position (x: -9.110016, y: 0.2, z: -49.30002) marked as 'X'
Prop at position (x: -56.60001, y: 0.2, z: -1.800018) marked as 'X'
Prop at position (x: -69.07999, y: 0.2, z: -29.29002) marked as 'X'
Prop at position (x: -236.6, y: 0.2, z: -61.80002) marked as 'X'
Prop at position (x: -156.7, y: 0.2, z: -1.800018) marked as 'X'
Prop at position (x: -84.07999, y: 0.2, z: -29.29002) marked as 'X'
Prop at position (x: -249.1, y: 0.2, z: -29.29002) marked as 'X'
Prop at position (x: -17.35037, y: 0, z: 69.70996) marked as 'X'
Prop at position (x: -3.399994, y: 0, z: 4.799988) marked as 'X'
Prop at position (x: -76.10001, y: 0, z: 67.68518) marked as 'X'
Prop at position (x: -152.74, y: 0, z: 158.7) marked as 'X'
Prop at position (x: -116.3, y: 0.2, z: -76.80002) marked as 'X'
Prop at position (x: -249.1, y: 0.2, z: 114.2) marked as 'X'
Prop at position (x: -96.30002, y: 0.2, z: -1.800018) marked as 'X'
Prop at position (x: -84.26999, y: 0.2, z: -1.720016) marked as 'X'
Prop at position (x: -188.96, y: 0.2, z: 41.5) marked as 'X'
Prop at position (x: -144.22, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -69.07999, y: 0.2, z: 30.73999) marked as 'X'
Prop at position (x: -129.15, y: 0.2, z: 30.73999) marked as 'X'
Prop at position (x: -156.7, y: 0.2, z: 98.12997) marked as 'X'
Prop at position (x: -156.7, y: 0.2, z: -16.80002) marked as 'X'
Prop at position (x: 0, y: 0, z: 28.1) marked as 'X'
Prop at position (x: -177.4, y: 16.45967, z: -46.4953) marked as 'X'
Prop at position (x: -110.15, y: 0.2, z: -17.86008) marked as 'X'
Prop at position (x: -249.05, y: 0.2, z: 98.14996) marked as 'X'
Prop at position (x: -249.1, y: 0.2, z: 30.73999) marked as 'X'
Prop at position (x: -24.11002, y: 0.2, z: 150.6) marked as 'X'
Prop at position (x: -144.38, y: 0.2, z: 81.63998) marked as 'X'
Prop at position (x: -69.07999, y: 0.2, z: 10.72998) marked as 'X'
Prop at position (x: -273, y: 0, z: 111.6) marked as 'X'
Prop at position (x: -56.60001, y: 0.2, z: 58.20999) marked as 'X'
Prop at position (x: -9.110016, y: 0.2, z: 114.2) marked as 'X'
Prop at position (x: -24.11002, y: 0.2, z: 30.73999) marked as 'X'
Prop at position (x: -209.2426, y: 0.2, z: 106) marked as 'X'
Prop at position (x: -80.10001, y: 16.49, z: -89.20001) marked as 'X'
Prop at position (x: -156.7, y: 0.2, z: -76.80002) marked as 'X'
Prop at position (x: -189.09, y: 0.2, z: 30.73999) marked as 'X'
Prop at position (x: -128.23, y: 0.2, z: 12.45999) marked as 'X'
Prop at position (x: -264.1, y: 0.2, z: -29.29002) marked as 'X'
Prop at position (x: -129, y: 0.2, z: -1.720016) marked as 'X'
Prop at position (x: -176.7, y: 0.2, z: -61.80002) marked as 'X'
Prop at position (x: -84.38, y: 0.2, z: -0.6400146) marked as 'X'
Prop at position (x: -176.7, y: 0.2, z: 58.20999) marked as 'X'
Prop at position (x: -144.15, y: 0.2, z: -49.30002) marked as 'X'
Prop at position (x: -236.6, y: 0.2, z: -76.80002) marked as 'X'
Prop at position (x: -248.9809, y: 0.2, z: -1.720016) marked as 'X'
Prop at position (x: -9.050018, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -188.98, y: 0.2, z: -1.720016) marked as 'X'
Prop at position (x: -24.13998, y: 0.2, z: 98.14996) marked as 'X'
Prop at position (x: -144.15, y: 0.2, z: 150.6) marked as 'X'
Prop at position (x: -20.21262, y: 0, z: 78.46997) marked as 'X'
Prop at position (x: -62.42703, y: 0, z: -59.44002) marked as 'X'
Prop at position (x: -17.35037, y: 0, z: 72.59998) marked as 'X'
Prop at position (x: -152.8, y: 16.49, z: 24.72998) marked as 'X'
Prop at position (x: -86.60001, y: 0.2, z: -61.66002) marked as 'X'
Prop at position (x: -264.1, y: 0.2, z: 134.2) marked as 'X'
Prop at position (x: -259.7, y: 24.27, z: -85.40002) marked as 'X'
Prop at position (x: -156.7, y: 0.2, z: 58.20999) marked as 'X'
Prop at position (x: 0.1000061, y: 0, z: -21.20001) marked as 'X'
Prop at position (x: -204.2, y: 0.2, z: -1.720016) marked as 'X'
Prop at position (x: -204.09, y: 0.2, z: -29.29002) marked as 'X'
Prop at position (x: -269.4, y: 0, z: 2.099976) marked as 'X'
Prop at position (x: -204.1, y: 0.2, z: -18.12003) marked as 'X'
Prop at position (x: -17.35037, y: 0, z: 75.22998) marked as 'X'
Prop at position (x: -24.22, y: 0.2, z: 99.25) marked as 'X'
Prop at position (x: -189.09, y: 0.2, z: -29.29002) marked as 'X'
Prop at position (x: -167.4, y: 16.49, z: -88.40002) marked as 'X'
Prop at position (x: -9.110016, y: 0.2, z: 134.2) marked as 'X'
Prop at position (x: -128.23, y: 0.2, z: 2.129974) marked as 'X'
Prop at position (x: -176.7, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -96.30002, y: 0.2, z: 98.12997) marked as 'X'
Prop at position (x: -36.60001, y: 0.2, z: -16.80002) marked as 'X'
Prop at position (x: -24.26999, y: 0.2, z: -1.720016) marked as 'X'
Prop at position (x: -9.110016, y: 0.2, z: 10.72998) marked as 'X'
Prop at position (x: -166.2511, y: 24.27, z: 7.066528) marked as 'X'
Prop at position (x: -84.07999, y: 0.2, z: 10.72998) marked as 'X'
Prop at position (x: -24.26999, y: 0.2, z: 58.31) marked as 'X'
Prop at position (x: -116.3, y: 0.2, z: 43.20999) marked as 'X'
Prop at position (x: -3.399994, y: 0, z: -52.10002) marked as 'X'
Prop at position (x: -128.95, y: 0.2, z: 83.04999) marked as 'X'
Prop at position (x: -24.11002, y: 0.2, z: 10.72998) marked as 'X'
